"Категория интересов, ур. 1","Категория интересов, ур. 2","Категория интересов, ур. 3","Визиты","Посетители","Аффинити‑индекс","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","","117","106","","0.9658119658119658","1.0683760683760684","00:00:10"
"Развлечения и досуг","Игры","Не определено","104","94","405.4114469550348","0.9711538461538461","1.0673076923076923","00:00:01"
"Развлечения и досуг","Игры","Компьютерные игры","104","94","411.5752373420076","0.9711538461538461","1.0673076923076923","00:00:01"
"Развлечения и досуг","Не определено","Не определено","101","91","200.48215575119056","0.9702970297029703","1.0693069306930694","00:00:01"
"Развлечения и досуг","Кино","Не определено","50","47","121.02397718221053","0.94","1.14","00:00:02"
"Финансы","Не определено","Не определено","47","45","108.39529766816801","0.9787234042553191","1.1063829787234043","00:00:02"
"Спорт","Не определено","Не определено","47","41","112.78765545821365","0.9787234042553191","1.0212765957446808","00:00:00"
"Образование","Дополнительное образование и курсы","Не определено","45","40","294.0780957166921","0.9777777777777777","1.0222222222222221","00:00:00"
"Развлечения и досуг","Музыка","Не определено","45","38","141.90198844137262","0.9777777777777777","1.0222222222222221","00:00:00"
"Финансы","Кредитные карты","Не определено","43","40","99.48705822829048","0.9534883720930233","1.1395348837209303","00:00:02"
"Развлечения и досуг","Рестораны","Не определено","42","39","84.9779703389937","0.9761904761904762","1.0238095238095237","00:00:00"
"Бизнес","Не определено","Не определено","41","36","111.79505314395324","0.926829268292683","1.170731707317073","00:00:03"
"Работа","Поиск работы","Не определено","37","33","158.49723533484024","0.972972972972973","1.027027027027027","00:00:00"
"Недвижимость","Жилая недвижимость","Не определено","37","33","130.80365688551151","0.9459459459459459","1.054054054054054","00:00:30"
"Электроника","Не определено","Не определено","36","33","95.03522896471965","0.9444444444444444","1.1666666666666667","00:00:02"
"Отдых и путешествия","Не определено","Не определено","36","32","89.71549552023983","0.9722222222222221","1.0277777777777777","00:00:00"
"Телеком","Спутниковое и кабельное телевидение","Не определено","35","32","90.68597262374439","1.0","1.0","00:00:00"
"Образование","Не определено","Не определено","33","30","127.77807041297767","0.9696969696969697","1.0303030303030303","00:00:00"
"Бытовая техника","Не определено","Не определено","32","26","111.9585840140607","0.96875","1.03125","00:00:00"
"Работа","Не определено","Не определено","32","29","93.81152329649598","1.0","1.0","00:00:00"
"Семья и дети","Не определено","Не определено","30","27","90.79831443893262","0.9666666666666667","1.0333333333333334","00:00:00"
"Бытовая техника","Техника для дома","Не определено","29","23","144.3811635248701","0.9655172413793103","1.0344827586206897","00:00:00"
"Развлечения и досуг","Книги","Не определено","29","26","112.61694987509426","0.9655172413793103","1.0344827586206897","00:00:00"
"Спорт","Настольный теннис","Не определено","29","27","122.96818716896678","1.0","1.0","00:00:00"
"Бытовая техника","Техника для дома","Стиральные машины","28","23","140.43368292436946","0.9642857142857143","1.0357142857142858","00:00:00"
"Еда и напитки","Не определено","Не определено","28","26","97.71160289833932","1.0","1.0","00:00:00"
"Бытовая техника","Крупная техника для кухни","Не определено","27","22","137.7113951407795","0.9629629629629629","1.037037037037037","00:00:00"
"Транспорт","Авто","Не определено","27","24","116.4339703020339","0.9629629629629629","1.037037037037037","00:00:00"
"Образование","Школа","Не определено","26","23","97.20339621947572","1.0","1.0","00:00:00"
"Еда и напитки","Доставка воды","Не определено","25","24","209.17593837199217","0.92","1.24","00:00:04"
"Отдых и путешествия","Авиабилеты","Не определено","24","19","76.69020904835526","1.0","1.0","00:00:00"
"Спорт","Фитнес","Не определено","24","23","90.02159954413625","0.9583333333333335","1.0416666666666667","00:00:00"
"Транспорт","Авто","Автомобили среднего класса","24","20","194.5556441336101","0.9583333333333335","1.0416666666666667","00:00:00"
"Бизнес","Юридическая поддержка","Не определено","23","20","88.26340269024912","0.9130434782608695","1.2608695652173914","00:00:04"
"Строительство, обустройство и ремонт","Товары для дома","Не определено","23","18","137.20661118319532","0.9565217391304348","1.0434782608695652","00:00:00"
"Строительство, обустройство и ремонт","Не определено","Не определено","22","21","87.80685971597174","0.9090909090909091","1.2727272727272727","00:00:04"
"Финансы","Кредиты","Не определено","22","21","111.07952488668226","0.9090909090909091","1.0909090909090908","00:00:51"
"Недвижимость","Не определено","Не определено","22","20","82.63932717697216","0.9545454545454546","1.0454545454545454","00:00:51"
"Транспорт","Авто","Автомобили","22","20","142.6588659253273","0.9545454545454546","1.0454545454545454","00:00:00"
"Бытовая техника","Крупная техника для кухни","Посудомоечные машины","21","16","146.03119105913837","0.9523809523809522","1.0476190476190477","00:00:00"
"Финансы","Финансовые услуги для бизнеса","Не определено","21","20","124.1191663445356","0.9523809523809522","1.0476190476190477","00:00:00"
"Бытовая техника","Мелкая техника для кухни","Не определено","20","15","186.3557373254197","1.0","1.0","00:00:00"
"Электроника","Компьютерная техника","Настольные компьютеры","20","19","162.86462025231359","0.95","1.05","00:00:00"
"Транспорт","Авто","Автострахование","20","19","89.69879364621413","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Ремонт","Не определено","19","19","104.9856223112652","0.8947368421052632","1.3157894736842106","00:00:05"
"Электроника","Компьютерная техника","Не определено","19","17","107.72751014334551","1.0","1.0","00:00:00"
"Спорт","Йога","Не определено","19","19","95.59652258923974","0.9473684210526315","1.0526315789473684","00:00:00"
"Бытовая техника","Крупная техника для кухни","Холодильники","18","13","212.12109761716192","1.0","1.0","00:00:00"
"Красота и здоровье","Не определено","Не определено","18","16","77.39073151459446","0.9444444444444444","1.0555555555555556","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Не определено","18","17","107.2852986354863","0.9444444444444444","1.0555555555555556","00:00:00"
"Электроника","Игровые приставки","Не определено","18","18","347.1732467459706","0.9444444444444444","1.0555555555555556","00:00:01"
"Финансы","Финансовые услуги для бизнеса","Депозиты для бизнеса","18","17","140.85570551334652","0.9444444444444444","1.0555555555555556","00:00:00"
"Недвижимость","Аренда недвижимости","Не определено","18","16","122.40193349762522","0.8888888888888888","1.1111111111111112","00:01:02"
"Транспорт","Не определено","Не определено","18","17","93.08679546985229","1.0","1.0","00:00:00"
"Транспорт","Авто","Автозапчасти и аксессуары","18","17","131.70856699820837","0.9444444444444444","1.0555555555555556","00:00:00"
"Бизнес","Создание и продвижение сайтов","Не определено","17","16","272.87245065715354","0.9411764705882352","1.0588235294117647","00:00:01"
"Строительство, обустройство и ремонт","Товары для дома","Посуда","17","12","182.83519077164502","1.0","1.0","00:00:00"
"Электроника","Аудио- и видеотехника","Телевизоры и плазменные панели","17","12","251.08754056801132","1.0","1.0","00:00:00"
"Развлечения и досуг","Игры","Киберспорт","17","17","191.40307086026297","0.9411764705882352","1.0588235294117647","00:00:01"
"Одежда, обувь и аксессуары","Одежда","Спортивная одежда","16","14","172.44023503985437","1.0","1.0","00:00:00"
"Развлечения и досуг","Игры","Консольные игры","16","13","310.1891447206982","1.0","1.0","00:00:00"
"Образование","Вуз","Не определено","15","14","110.72466520775488","0.9333333333333332","1.0666666666666667","00:00:00"
"Финансы","Интернет-банкинг","Не определено","15","14","51.66565489495168","0.9333333333333332","1.0666666666666667","00:00:00"
"Транспорт","Авто","Спортивные автомобили","15","11","181.90177613842826","1.0","1.0","00:00:00"
"Отдых и путешествия","Страхование путешественников","Не определено","14","13","175.81729652657938","1.0","1.0","00:00:00"
"Транспорт","Авто","Техобслуживание автомобилей","14","13","127.94107281082294","0.9285714285714286","1.0714285714285714","00:00:00"
"Финансы","Банковские вклады","Не определено","13","13","108.04304349031895","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Сериалы","13","13","78.8153674157889","1.0","1.0","00:00:00"
"Бытовая техника","Крупная техника для кухни","Кухонные вытяжки","12","8","228.55119813636014","1.0","1.0","00:00:00"
"Бытовая техника","Крупная техника для кухни","Кухонные плиты","12","8","187.80346090174547","1.0","1.0","00:00:00"
"Бизнес","Реклама","Не определено","12","11","81.37289148763445","0.9166666666666665","1.0833333333333333","00:00:00"
"Одежда, обувь и аксессуары","Одежда","Не определено","12","11","58.07462290609689","1.0","1.0","00:00:00"
"Финансы","Ипотека","Не определено","12","11","94.3776785519538","0.9166666666666665","1.0833333333333333","00:01:33"
"Недвижимость","Жилая недвижимость премиум-класса","Не определено","12","11","185.95847077608445","1.0","1.0","00:00:00"
"Отдых и путешествия","Отели","Не определено","12","12","68.8036656128867","1.0","1.0","00:00:00"
"Транспорт","Авто","Внедорожники","12","8","139.0262716193278","1.0","1.0","00:00:00"
"Спорт","Сноубординг","Не определено","11","10","90.35888385366884","1.0","1.0","00:00:00"
"Бизнес","Бухгалтерские услуги","Не определено","10","7","55.762717635228505","0.9","1.5","00:00:09"
"Электроника","Аудио- и видеотехника","Не определено","10","7","120.19863855297855","1.0","1.0","00:00:00"
"Развлечения и досуг","Театры","Не определено","10","8","74.64628137033809","1.0","1.0","00:00:00"
"Спорт","Футбол","Не определено","10","10","191.2562771197379","0.9","1.1","00:00:00"
"Спорт","Роликовые коньки","Не определено","10","9","90.60319128357037","1.0","1.0","00:00:00"
"Транспорт","Авто","Автомобили бизнес-класса","10","8","120.53521501681074","1.0","1.0","00:00:00"
"Транспорт","Авто","Семейные автомобили","10","9","187.99196349690354","1.0","1.0","00:00:00"
"Подарки и цветы","Подарки","Не определено","9","9","60.11209174694588","0.8888888888888888","1.1111111111111112","00:00:00"
"Бытовая техника","Техника для красоты и здоровья","Женские электробритвы и эпиляторы","9","9","103.35288567775942","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Не определено","Не определено","9","8","37.12378368593098","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Мебель для ванной","9","8","95.1041710779392","1.0","1.0","00:00:00"
"Электроника","Фото- и видеокамеры","Не определено","9","9","110.3963314409616","1.0","1.0","00:00:00"
"Финансы","Инвестиции","Не определено","9","8","91.86560527096248","1.0","1.0","00:00:00"
"Еда и напитки","Кулинария","Не определено","9","9","47.18020192162224","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Детские фильмы","9","8","55.199218774288525","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Билеты в кино","9","8","100.22286449384448","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Комедии","9","8","78.35115575164686","1.0","1.0","00:00:00"
"Отдых и путешествия","Походы и спортивный туризм","Не определено","9","8","277.414854701558","0.8888888888888888","1.1111111111111112","00:00:00"
"Телеком","Не определено","Не определено","9","8","58.78516747291698","1.0","1.0","00:00:00"
"Транспорт","Авто","Автомобили представительского класса","9","7","120.36299647569109","1.0","1.0","00:00:00"
"Транспорт","Авто","Подержанные автомобили","9","8","107.37818488732188","0.8888888888888888","1.1111111111111112","00:00:00"
"Бытовая техника","Техника для красоты и здоровья","Мужские электробритвы","8","8","73.20259696242256","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Дача и сад","Не определено","8","8","55.02923276184569","1.0","1.0","00:00:00"
"Электроника","Компьютерная техника","Мониторы","8","7","83.43605668577634","1.0","1.0","00:00:00"
"Финансы","Финансовые услуги для бизнеса","Расчетно-кассовое обслуживание","8","8","109.04696693312513","1.0","1.0","00:00:00"
"Еда и напитки","Доставка готовых блюд","Не определено","8","8","137.79503790978762","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Мелодрамы","8","7","105.03443589795178","1.0","1.0","00:00:00"
"Развлечения и досуг","Игры","Мобильные игры","8","7","100.57266182003661","0.875","1.125","00:00:00"
"Отдых и путешествия","Отдых в Европе","Не определено","8","5","135.74764819452366","1.0","1.0","00:00:00"
"Спорт","Большой теннис","Не определено","8","8","66.20431777564916","1.0","1.0","00:00:00"
"Транспорт","Авто","Кроссоверы","8","7","128.51100459717767","1.0","1.0","00:00:00"
"Транспорт","Авто","Городские автомобили","8","7","135.4090803468263","1.0","1.0","00:00:00"
"Бытовая техника","Крупная техника для кухни","Встраиваемые духовые шкафы","7","6","153.48690529394875","1.0","1.0","00:00:00"
"Бытовая техника","Крупная техника для кухни","Встраиваемые рабочие поверхности","7","6","176.56992180431277","1.0","1.0","00:00:00"
"Бытовая техника","Мелкая техника для кухни","Соковыжималки","7","6","296.3599012322094","1.0","1.0","00:00:00"
"Красота и здоровье","Уход за лицом","Не определено","7","7","64.43160496899354","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Обувь","Спортивная обувь","7","5","288.96451041342937","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Ремонт","Строительные инструменты","7","7","152.42583941286276","1.0","1.0","00:00:00"
"Электроника","Аудио- и видеотехника","Стационарная аудиотехника","7","6","134.0554141029866","1.0","1.0","00:00:00"
"Семья и дети","Товары для детей","Детские книги","7","7","122.29031169715986","1.0","1.0","00:00:00"
"Семья и дети","Товары для детей","Детские игрушки","7","7","70.99880813241157","0.8571428571428571","1.1428571428571428","00:00:00"
"Развлечения и досуг","Кино","Драмы","7","6","77.65283950270991","1.0","1.0","00:00:00"
"Развлечения и досуг","Музыка","Концерты","7","6","46.20418532936218","1.0","1.0","00:00:00"
"Недвижимость","Загородная недвижимость","Не определено","7","6","81.78023480941098","1.0","1.0","00:00:00"
"Транспорт","Авто","Шины и диски","7","7","141.944247530308","1.0","1.0","00:00:00"
"Сельскохозяйственное оборудование и техника","Не определено","Не определено","6","6","194.272431657923","0.8333333333333335","1.8333333333333333","00:00:16"
"Бытовая техника","Мелкая техника для кухни","Блендеры","6","5","299.2897132848465","1.0","1.0","00:00:00"
"Бытовая техника","Мелкая техника для кухни","Пароварки, аэрогрили, мини-печи и ростеры, хлебопечки ","6","5","264.32785471591563","1.0","1.0","00:00:00"
"Бытовая техника","Мелкая техника для кухни","Мультиварки","6","5","239.56843702449117","1.0","1.0","00:00:00"
"Бизнес","Открытие бизнеса","Не определено","6","3","250.32063092559363","1.0","1.0","00:00:00"
