"DateTime","CTP","Новые игроки"
"2026-01-21",75,75
"2026-01-22",100,
"2026-01-23",50,
"2026-01-24",50,75
"2026-01-29",100,
"2026-01-30",100,
"2026-01-31",33.33333333333333,0
"2026-02-01",50,100
"2026-02-02",100,
"2026-02-03",80,66.66666666666666
"2026-02-04",62.5,75
"2026-02-05",16.666666666666664,25
"2026-02-06",50,0
"2026-02-07",57.692307692307686,62.5
"2026-02-08",46.808510638297875,59.45945945945946
"2026-02-09",42.857142857142854,54.54545454545454
"2026-02-10",56.25,60.46511627906976
"2026-02-11",56.52173913043478,63.1578947368421
"2026-02-12",51.35135135135135,56.00000000000001
"2026-02-13",55.319148936170215,58.139534883720934
"2026-02-14",35.714285714285715,50
"2026-02-15",60.86956521739131,66.66666666666666
"2026-02-16",60,75
"2026-02-17",30,28.57142857142857
"2026-02-18",0,0
"2026-02-19",60,80
"2026-02-20",33.33333333333333,50
"2026-02-21",20,33.33333333333333
"2026-02-22",71.42857142857143,71.42857142857143