"DateTime","CTR","Показы"
"2026-02-06",,1
"2026-02-07",0.4911924119241192,5904
"2026-02-08",0.7184607890891379,8212
"2026-02-09",0.5772005772005772,9009
"2026-02-10",0.545549012816072,11548
"2026-02-11",0.5434782608695652,10304
"2026-02-12",0.40835707502374174,10530
"2026-02-13",0.40114613180515757,13960
"2026-02-14",0.32165832737669764,2798
"2026-02-15",0.39896737854963626,4261
"2026-02-16",0.1176470588235294,4250
"2026-02-17",0.16242555495397942,3694
"2026-02-18",0.07001166861143523,4285
"2026-02-19",0.2165674066053059,1847
"2026-02-20",0.7371007371007371,407
"2026-02-21",1.0752688172043012,93
"2026-02-22",8.51063829787234,94