"Страна","Область","Город","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","","197","176","0.9593908629441624","1.0710659898477157","00:00:08"
"Россия","Москва и Московская область","Москва","19","15","1.0","1.0","00:00:00"
"Россия","Не определено","Не определено","10","7","1.0","1.0","00:00:00"
"Россия","Санкт-Петербург и Ленинградская область","Санкт-Петербург","9","8","0.8888888888888888","1.1111111111111112","00:00:24"
"Узбекистан","Область не определена","Ташкент","7","6","0.8571428571428571","1.1428571428571428","00:00:03"
"Россия","Республика Башкортостан","Не определено","5","4","1.0","1.0","00:00:00"
"Россия","Ростовская область","Ростов-на-Дону","5","4","0.8","2.0","00:00:19"
"Россия","Тюменская область","Тюмень","5","4","1.0","1.0","00:00:00"
"Казахстан","Область Жетысу","Талдыкорган","4","2","0.75","1.25","00:00:18"
"Россия","Москва и Московская область","Не определено","4","4","0.75","1.25","00:04:41"
"Россия","Республика Дагестан","Махачкала","4","4","1.0","1.0","00:00:00"
"Россия","Свердловская область","Екатеринбург","4","4","1.0","1.0","00:00:00"
"Россия","Новосибирская область","Новосибирск","3","3","1.0","1.0","00:00:00"
"Россия","Оренбургская область","Оренбург","3","3","1.0","1.0","00:00:00"
"Россия","Саратовская область","Саратов","3","2","1.0","1.0","00:00:00"
"Россия","Чеченская Республика","Грозный","3","2","1.0","1.0","00:00:00"
"Узбекистан","Не определено","Не определено","3","2","0.6666666666666665","1.3333333333333333","00:00:08"
"Беларусь","Минская область","Минск","2","2","1.0","1.0","00:00:00"
"Казахстан","Карагандинская область","Караганда","2","2","1.0","1.0","00:00:00"
"Кыргызстан","Область не определена","Бишкек","2","2","1.0","1.0","00:00:00"
"Россия","Алтайский край","Не определено","2","1","1.0","1.0","00:00:00"
"Россия","Алтайский край","Барнаул","2","2","1.0","1.0","00:00:00"
"Россия","Астраханская область","Астрахань","2","2","0.5","1.5","00:00:02"
"Россия","Белгородская область","Старый Оскол","2","2","1.0","1.0","00:00:00"
"Россия","Краснодарский край","Не определено","2","2","1.0","1.0","00:00:00"
"Россия","Пермский край","Пермь","2","2","1.0","1.0","00:00:00"
"Россия","Республика Башкортостан","Уфа","2","1","1.0","1.0","00:00:00"
"Россия","Республика Крым","Алушта","2","1","1.0","1.0","00:00:00"
"Россия","Республика Крым","Евпатория","2","2","1.0","1.0","00:00:00"
"Россия","Республика Татарстан","Не определено","2","2","1.0","1.0","00:00:00"
"Россия","Республика Тыва","Кызыл","2","1","1.0","1.0","00:00:00"
"Россия","Свердловская область","Нижняя Салда","2","2","1.0","1.0","00:00:00"
"Россия","Ставропольский край","Ставрополь","2","2","1.0","1.0","00:00:00"
"Россия","Тверская область","Тверь","2","2","0.5","2.5","00:00:04"
"Россия","Томская область","Томск","2","2","1.0","1.0","00:00:00"
"Россия","Ульяновская область","Ульяновск","2","2","1.0","1.0","00:00:00"
"Россия","Челябинская область","Челябинск","2","2","1.0","1.0","00:00:00"
"Армения","Область Арарат","Масис","1","1","1.0","1.0","00:00:00"
"Беларусь","Витебская область","Не определено","1","1","1.0","1.0","00:00:00"
"Беларусь","Гродненская область","Гродно","1","1","1.0","1.0","00:00:00"
"Беларусь","Могилёвская область","Могилёв","1","1","1.0","1.0","00:00:00"
"Великобритания","Область не определена","Лондон","1","1","1.0","1.0","00:00:00"
"Израиль","Тель-Авивский АО","Тель-Авив","1","1","1.0","1.0","00:00:00"
"Италия","Венето","Виченца","1","1","1.0","1.0","00:00:00"
"Казахстан","Алматинская область","Алматы","1","1","1.0","1.0","00:00:00"
"Казахстан","Атырауская область","Атырау","1","1","1.0","1.0","00:00:00"
"Казахстан","Атырауская область","Кульсары","1","1","1.0","1.0","00:00:00"
"Казахстан","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
"Казахстан","Северо-Казахстанская область","Петропавловск","1","1","1.0","1.0","00:00:00"
"Китай","Гуандун","Гуанчжоу","1","1","1.0","1.0","00:00:00"
"Китай","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
"Польша","Нижнесилезское воеводство","Вроцлав","1","1","1.0","1.0","00:00:00"
"Россия","Вологодская область","Череповец","1","1","1.0","1.0","00:00:00"
"Россия","Ивановская область","Иваново","1","1","1.0","1.0","00:00:00"
"Россия","Иркутская область","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Кемеровская область (Кузбасс)","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Кемеровская область (Кузбасс)","Междуреченск","1","1","1.0","1.0","00:00:00"
"Россия","Костромская область","Кострома","1","1","1.0","1.0","00:00:00"
"Россия","Краснодарский край","Ейск","1","1","1.0","1.0","00:00:00"
"Россия","Красноярский край","Красноярск","1","1","1.0","1.0","00:00:00"
"Россия","Курская область","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Москва и Московская область","Воскресенск","1","1","1.0","1.0","00:00:00"
"Россия","Москва и Московская область","Дмитров","1","1","1.0","1.0","00:00:00"
"Россия","Москва и Московская область","Коломна","1","1","1.0","1.0","00:00:00"
"Россия","Москва и Московская область","Лыткарино","1","1","1.0","1.0","00:00:00"
"Россия","Москва и Московская область","Мытищи","1","1","1.0","1.0","00:00:00"
"Россия","Москва и Московская область","Ногинск","1","1","1.0","1.0","00:00:00"
"Россия","Москва и Московская область","Чехов","1","1","1.0","1.0","00:00:00"
"Россия","Мурманская область","Мончегорск","1","1","1.0","1.0","00:00:00"
"Россия","Мурманская область","Мурманск","1","1","1.0","1.0","00:00:00"
"Россия","Нижегородская область","Нижний Новгород","1","1","1.0","1.0","00:00:00"
"Россия","Нижегородская область","Семенов","1","1","1.0","1.0","00:00:00"
"Россия","Пензенская область","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Приморский край","Владивосток","1","1","1.0","1.0","00:00:00"
"Россия","Республика Башкортостан","Кумертау","1","1","1.0","1.0","00:00:00"
"Россия","Республика Башкортостан","Туймазы","1","1","1.0","1.0","00:00:00"
"Россия","Республика Ингушетия","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Республика Коми","Сыктывкар","1","1","1.0","1.0","00:00:00"
"Россия","Республика Крым","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Республика Крым","Ялта","1","1","1.0","1.0","00:00:00"
"Россия","Республика Марий Эл","Йошкар-Ола","1","1","1.0","1.0","00:00:00"
"Россия","Республика Мордовия","Саранск","1","1","1.0","1.0","00:00:00"
"Россия","Республика Хакасия","Черногорск","1","1","1.0","1.0","00:00:00"
"Россия","Ростовская область","Аксай","1","1","1.0","1.0","00:00:00"
"Россия","Рязанская область","Рязань","1","1","1.0","1.0","00:00:00"
"Россия","Самарская область","Сызрань","1","1","1.0","1.0","00:00:00"
"Россия","Свердловская область","Берёзовский","1","1","1.0","1.0","00:00:00"
"Россия","Свердловская область","Каменск-Уральский","1","1","1.0","1.0","00:00:00"
"Россия","Смоленская область","Смоленск","1","1","1.0","1.0","00:00:00"
"Россия","Ставропольский край","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Тульская область","Тула","1","1","1.0","1.0","00:00:00"
"Россия","Тюменская область","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Удмуртская Республика","Ижевск","1","1","1.0","1.0","00:00:00"
"Россия","Хабаровский край","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Челябинская область","Магнитогорск","1","1","1.0","1.0","00:00:00"
"Россия","Челябинская область","Сатка","1","1","1.0","1.0","00:00:00"
"Россия","Чувашская Республика","Новочебоксарск","1","1","1.0","1.0","00:00:00"
"Россия","Чувашская Республика","Шумерля","1","1","1.0","1.0","00:00:00"
"США","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
"Тайвань","Область не определена","Тайчжун","1","1","1.0","1.0","00:00:00"
"Турция","Провинция Конья","Конья","1","1","1.0","1.0","00:00:00"
"Турция","Провинция Стамбул","Стамбул","1","1","1.0","1.0","00:00:00"
"Узбекистан","Кашкадарьинская область","Шахрисабз","1","1","1.0","1.0","00:00:00"
