"DateTime","Показы"
"2026-01-21",3
"2026-01-22",4
"2026-01-23",3
"2026-01-24",0.5
"2026-01-29",5
"2026-01-30",17
"2026-01-31",2
"2026-02-01",
"2026-02-02",4
"2026-02-03",1.75
"2026-02-04",0.2
"2026-02-05",0.2
"2026-02-06",1.6666666666666667
"2026-02-07",0.5217391304347826
"2026-02-08",0.5714285714285714
"2026-02-09",0.4318181818181818
"2026-02-10",0.3953488372093023
"2026-02-11",0.5
"2026-02-12",0.4642857142857143
"2026-02-13",0.7674418604651163
"2026-02-14",0.7272727272727273
"2026-02-15",0.7368421052631579
"2026-02-16",0.8
"2026-02-17",1.125
"2026-02-18",0.6666666666666666
"2026-02-19",0.75
"2026-02-20",0.6
"2026-02-21",
"2026-02-22",0.2857142857142857