"DateTime","Всего","Новые игроки"
"2026-01-13",0,
"2026-01-21",1,1
"2026-01-22",1,
"2026-01-23",1,
"2026-01-24",4,4
"2026-01-29",1,
"2026-01-30",1,
"2026-01-31",2,1
"2026-02-01",1,1
"2026-02-02",1,
"2026-02-03",4,3
"2026-02-04",5,3
"2026-02-05",5,4
"2026-02-06",3,1
"2026-02-07",23,23
"2026-02-08",35,35
"2026-02-09",44,43
"2026-02-10",43,42
"2026-02-11",38,36
"2026-02-12",28,24
"2026-02-13",43,42
"2026-02-14",11,8
"2026-02-15",19,16
"2026-02-16",5,4
"2026-02-17",8,6
"2026-02-18",3,3
"2026-02-19",8,4
"2026-02-20",5,4
"2026-02-21",3,3
"2026-02-22",7,7