"DateTime","1 мин","3 мин","5 мин","10 мин","30 мин"
"2026-01-13",0,0,0,0,0
"2026-01-21",75,75,50,0,0
"2026-01-22",100,0,0,0,0
"2026-01-23",50,50,50,0,0
"2026-01-24",50,33,33,0,0
"2026-01-29",100,0,0,0,0
"2026-01-30",100,100,100,100,100
"2026-01-31",33,33,0,0,0
"2026-02-01",50,0,0,0,0
"2026-02-02",100,0,0,0,0
"2026-02-03",80,20,20,0,0
"2026-02-04",62,12,12,12,0
"2026-02-05",17,17,17,0,0
"2026-02-06",50,50,25,25,0
"2026-02-07",58,35,15,0,0
"2026-02-08",47,19,2,0,0
"2026-02-09",43,18,9,4,0
"2026-02-10",56,19,6,2,0
"2026-02-11",57,17,7,4,2
"2026-02-12",51,19,11,3,0
"2026-02-13",55,15,4,2,0
"2026-02-14",36,21,14,7,0
"2026-02-15",61,4,4,0,0
"2026-02-16",60,20,20,0,0
"2026-02-17",30,10,0,0,0
"2026-02-18",0,0,0,0,0
"2026-02-19",60,40,30,10,0
"2026-02-20",33,33,33,17,0
"2026-02-21",20,0,0,0,0
"2026-02-22",71,29,0,0,0