"DateTime","Инап-покупки","Внешние рекламные сети","Рекламная сеть Яндекса"
"2026-01-13",,,0
"2026-01-21",,,0
"2026-01-22",,,0
"2026-01-23",,,0
"2026-01-24",,,0
"2026-01-29",,,0
"2026-01-30",,,0
"2026-01-31",,,0
"2026-02-01",,,0
"2026-02-02",,,0
"2026-02-03",,,0
"2026-02-04",,,0
"2026-02-05",,,0
"2026-02-06",,,0
"2026-02-07",,,0.46
"2026-02-08",,,0.36
"2026-02-09",,,0.4
"2026-02-10",,,1.32
"2026-02-11",,,0.51
"2026-02-12",,,0.38
"2026-02-13",,,1.25
"2026-02-14",,,0.2
"2026-02-15",,,0.38
"2026-02-16",,,0.02
"2026-02-17",,,0.23
"2026-02-18",,,0.23
"2026-02-19",,,0.1
"2026-02-20",,,0
"2026-02-21",,,0
"2026-02-22",,,0.36